time	V(vout)
7.461882291143492e-14	8.176613e-01
7.465082291143491e-14	8.176820e-01
7.465882291143491e-14	8.176872e-01
7.467482291143491e-14	8.176976e-01
7.467882291143491e-14	8.177002e-01
7.468682291143491e-14	8.177054e-01
7.470282291143490e-14	8.177158e-01
7.473482291143490e-14	8.177364e-01
7.479882291143490e-14	8.177778e-01
7.492682291143490e-14	8.178603e-01
7.518282291143491e-14	8.180243e-01
7.569482291143490e-14	8.183501e-01
7.582282291143490e-14	8.184310e-01
7.585482291143490e-14	8.184512e-01
7.591882291143490e-14	8.184914e-01
7.604682291143490e-14	8.185717e-01
7.605082291143490e-14	8.185742e-01
7.605882291143490e-14	8.185793e-01
7.607482291143490e-14	8.185893e-01
7.607882291143490e-14	8.185918e-01
7.608682291143489e-14	8.185968e-01
7.610282291143489e-14	8.186068e-01
7.613482291143489e-14	8.186268e-01
7.614282291143488e-14	8.186318e-01
7.615882291143488e-14	8.186418e-01
7.619082291143487e-14	8.186618e-01
7.625482291143488e-14	8.187017e-01
7.627082291143487e-14	8.187118e-01
7.630282291143487e-14	8.187317e-01
7.636682291143487e-14	8.187715e-01
7.649482291143487e-14	8.188509e-01
7.652682291143486e-14	8.188708e-01
7.659082291143487e-14	8.189104e-01
7.671882291143487e-14	8.189894e-01
7.675082291143486e-14	8.190091e-01
7.681482291143486e-14	8.190485e-01
7.694282291143487e-14	8.191270e-01
7.719882291143487e-14	8.192837e-01
7.720682291143487e-14	8.192886e-01
7.722282291143486e-14	8.192983e-01
7.722682291143486e-14	8.193007e-01
7.723482291143486e-14	8.193056e-01
7.725082291143486e-14	8.193154e-01
7.728282291143485e-14	8.193348e-01
7.729082291143485e-14	8.193397e-01
7.729282291143486e-14	8.193409e-01
7.729682291143486e-14	8.193433e-01
7.730482291143486e-14	8.193482e-01
7.732082291143485e-14	8.193579e-01
7.732482291143485e-14	8.193604e-01
7.733282291143485e-14	8.193652e-01
7.734882291143485e-14	8.193749e-01
7.735282291143485e-14	8.193774e-01
7.735382291143484e-14	8.193780e-01
7.735582291143485e-14	8.193792e-01
7.735982291143485e-14	8.193817e-01
7.736782291143485e-14	8.193865e-01
7.738382291143485e-14	8.193962e-01
7.741582291143484e-14	8.194156e-01
7.747982291143484e-14	8.194544e-01
7.760782291143484e-14	8.195317e-01
7.786382291143485e-14	8.196859e-01
7.787182291143485e-14	8.196907e-01
7.788782291143484e-14	8.197003e-01
7.791982291143484e-14	8.197195e-01
7.792782291143484e-14	8.197243e-01
7.794382291143483e-14	8.197339e-01
7.797582291143483e-14	8.197531e-01
7.803982291143483e-14	8.197913e-01
7.816782291143483e-14	8.198677e-01
7.819982291143482e-14	8.198867e-01
7.826382291143482e-14	8.199248e-01
7.839182291143483e-14	8.200007e-01
7.864782291143483e-14	8.201517e-01
7.915982291143483e-14	8.204522e-01
7.917582291143482e-14	8.204616e-01
7.920782291143482e-14	8.204802e-01
7.927182291143482e-14	8.205174e-01
7.927382291143483e-14	8.205186e-01
7.927782291143482e-14	8.205209e-01
7.928582291143482e-14	8.205255e-01
7.930182291143482e-14	8.205348e-01
7.933382291143481e-14	8.205534e-01
7.939782291143482e-14	8.205906e-01
7.941382291143481e-14	8.205998e-01
7.944582291143481e-14	8.206183e-01
7.950982291143481e-14	8.206553e-01
