time	V(n004)
9.948271575682852e-03	2.185121e+00
9.968930602221125e-03	2.165739e+00
1.000874108919713e-02	2.125046e+00
1.008836206314914e-02	2.034582e+00
1.023392807804314e-02	1.857594e+00
1.038199619841880e-02	1.686521e+00
1.055609353181566e-02	1.519058e+00
1.063118494198909e-02	1.468026e+00
1.068440215397559e-02	1.446071e+00
1.072369271249878e-02	1.437097e+00
1.076206805034379e-02	1.434722e+00
1.080975518601519e-02	1.439383e+00
1.085282911197668e-02	1.451697e+00
1.092281854920681e-02	1.489118e+00
1.103529122993557e-02	1.585288e+00
1.120927435075676e-02	1.790614e+00
1.138134805302144e-02	2.029717e+00
1.140207256527595e-02	2.060021e+00
1.144352158978496e-02	2.120686e+00
1.145388384591221e-02	2.135661e+00
1.147460835816672e-02	2.165217e+00
1.148355065663146e-02	2.177858e+00
1.148702553646541e-02	2.182733e+00
1.148904114013351e-02	2.185550e+00
1.149010491066632e-02	2.187035e+00
1.149080285405613e-02	2.188008e+00
1.149159210363993e-02	2.189107e+00
1.149287593001795e-02	2.190893e+00
1.149348805415293e-02	2.191744e+00
1.149410017828792e-02	2.192594e+00
1.149471230242291e-02	2.193444e+00
1.149532442655789e-02	2.194293e+00
1.149593655069288e-02	2.195141e+00
1.149654867482787e-02	2.195989e+00
1.149716079896286e-02	2.196836e+00
1.149977084983623e-02	2.200440e+00
1.150499095158299e-02	2.207619e+00
1.151098454064719e-02	2.215822e+00
1.151430419690757e-02	2.220343e+00
1.151809072945060e-02	2.225476e+00
1.151973155080938e-02	2.227693e+00
1.152163430481296e-02	2.230257e+00
1.152345072959461e-02	2.232699e+00
1.152566151727789e-02	2.235662e+00
1.152914527272107e-02	2.240315e+00
1.153275791236849e-02	2.245115e+00
1.153936730049159e-02	2.253828e+00
1.154828818228707e-02	2.265444e+00
1.156352172689954e-02	2.284820e+00
1.159277337221487e-02	2.320190e+00
1.165127666284554e-02	2.382632e+00
1.176383995192924e-02	2.480704e+00
1.182939495153983e-02	2.523024e+00
1.186652334351019e-02	2.538607e+00
1.190624463302748e-02	2.548119e+00
1.195639049357555e-02	2.551709e+00
1.200590876927681e-02	2.545006e+00
1.208622732576047e-02	2.519526e+00
1.210225097869076e-02	2.511912e+00
1.213429828455134e-02	2.492604e+00
1.215399027548973e-02	2.479381e+00
1.217173534991756e-02	2.466365e+00
1.218131546373610e-02	2.458958e+00
1.218680418016501e-02	2.454571e+00
1.218936647935536e-02	2.452486e+00
1.219126365867446e-02	2.450927e+00
1.219267541638728e-02	2.449760e+00
1.219414595596184e-02	2.448538e+00
1.219562250161804e-02	2.447304e+00
1.219780464417194e-02	2.445465e+00
1.220216892927975e-02	2.441746e+00
1.220796274373055e-02	2.436724e+00
1.221710614059422e-02	2.428573e+00
1.223443856331846e-02	2.412428e+00
1.226464255897278e-02	2.382365e+00
1.231602829655111e-02	2.326768e+00
1.238680949776612e-02	2.243230e+00
1.250560296901728e-02	2.095784e+00
1.264550024625435e-02	1.930862e+00
1.281202916954099e-02	1.765067e+00
1.289243661392313e-02	1.706790e+00
1.294881197076014e-02	1.680864e+00
1.299020936216314e-02	1.669701e+00
1.302727304741473e-02	1.665617e+00
1.306451093634014e-02	1.666870e+00
1.310090828892468e-02	1.673809e+00
1.315553380373863e-02	1.695267e+00
1.324397766495532e-02	1.754582e+00
1.338422712765316e-02	1.897307e+00
1.359257595001861e-02	2.164165e+00
1.360408132048920e-02	2.180464e+00
1.362709206143039e-02	2.214369e+00
1.367311354331277e-02	2.282171e+00
1.367411901077561e-02	2.283648e+00
1.367612994570127e-02	2.286595e+00
1.367810260586529e-02	2.289484e+00
1.368010228475109e-02	2.292410e+00
1.368222364951942e-02	2.295512e+00
1.368469401380936e-02	2.299121e+00
1.368676496977978e-02	2.302145e+00
1.368897507632469e-02	2.305368e+00
1.369197732199831e-02	2.309741e+00
1.369475600157316e-02	2.313783e+00
1.370031336072286e-02	2.321847e+00
1.370774770373702e-02	2.332605e+00
1.371392307449392e-02	2.341512e+00
1.371825209289134e-02	2.347735e+00
1.372215979020142e-02	2.353339e+00
1.372364672018840e-02	2.355467e+00
1.372538769656060e-02	2.357955e+00
1.372722073596174e-02	2.360571e+00
1.373326464311275e-02	2.369172e+00
1.373812075464822e-02	2.376051e+00
1.374383942793248e-02	2.384118e+00
1.375161575697801e-02	2.395019e+00
1.376237224772819e-02	2.409957e+00
1.377829416417573e-02	2.431715e+00
1.380521885085985e-02	2.467357e+00
1.385367030026705e-02	2.526762e+00
1.395057319908146e-02	2.630132e+00
1.403520390284608e-02	2.702888e+00
1.408980945254839e-02	2.737542e+00
1.413003023292962e-02	2.755296e+00
1.416784460413627e-02	2.765886e+00
1.420834819060854e-02	2.771271e+00
1.424482838522242e-02	2.770080e+00
1.430417751987089e-02	2.756904e+00
1.437019286864383e-02	2.731830e+00
1.438060430874396e-02	2.726438e+00
1.440142718894423e-02	2.713617e+00
1.441906267040768e-02	2.701832e+00
1.443511536635572e-02	2.690222e+00
1.445044882331817e-02	2.678467e+00
1.445824117312124e-02	2.672221e+00
1.446590432716758e-02	2.665887e+00
1.446968880202816e-02	2.662699e+00
1.447278883708728e-02	2.660048e+00
1.447601622976556e-02	2.657254e+00
1.448138952364863e-02	2.652531e+00
1.448902731005658e-02	2.645679e+00
1.449983902763482e-02	2.635681e+00
1.451815367050258e-02	2.618057e+00
1.454120356861344e-02	2.594837e+00
1.456474971897940e-02	2.569921e+00
1.459212090655538e-02	2.539401e+00
1.463435219601199e-02	2.489897e+00
1.467902464234842e-02	2.435218e+00
1.472408513807899e-02	2.378186e+00
1.480806099311603e-02	2.271443e+00
1.492163642423498e-02	2.136576e+00
1.506804050346880e-02	1.989029e+00
1.515839290149670e-02	1.920840e+00
1.521666071905945e-02	1.891931e+00
1.525930484309970e-02	1.879258e+00
1.529548568938043e-02	1.874235e+00
1.532993573673139e-02	1.874473e+00
1.537092035006818e-02	1.881162e+00
1.542384626238925e-02	1.900399e+00
1.550959272622315e-02	1.955317e+00
1.564587064263855e-02	2.089626e+00
1.584966764121574e-02	2.344026e+00
1.585059975309236e-02	2.345321e+00
1.585246397684561e-02	2.348030e+00
1.585369348860800e-02	2.349817e+00
1.585465718839573e-02	2.351218e+00
1.585572584608781e-02	2.352773e+00
1.585673882692664e-02	2.354248e+00
1.585800136392334e-02	2.356086e+00
1.585984264131263e-02	2.358768e+00
1.586184783730028e-02	2.361691e+00
1.586437979918609e-02	2.365385e+00
1.586713804604442e-02	2.369411e+00
1.587209759647832e-02	2.376660e+00
1.588201669734612e-02	2.391175e+00
1.588847657925208e-02	2.400638e+00
1.589322605076260e-02	2.407600e+00
1.589765964131477e-02	2.414102e+00
1.589955117445150e-02	2.416877e+00
1.590141253799383e-02	2.419607e+00
1.590367980595486e-02	2.422933e+00
1.590933568768117e-02	2.431229e+00
1.591314768473872e-02	2.436819e+00
1.591852944202173e-02	2.444707e+00
1.592668790983926e-02	2.456652e+00
1.593907258074561e-02	2.474737e+00
1.596124622758111e-02	2.506855e+00
1.600559352125210e-02	2.569326e+00
1.609428810859408e-02	2.684788e+00
1.621822925130511e-02	2.824068e+00
1.629956878326000e-02	2.896220e+00
1.635648933946814e-02	2.933015e+00
1.639824711260086e-02	2.952004e+00
1.643505511661681e-02	2.962880e+00
1.647127677046894e-02	2.968344e+00
1.650913487779961e-02	2.968110e+00
1.656321948731736e-02	2.956857e+00
1.665080563223453e-02	2.923271e+00
1.666227830885609e-02	2.917100e+00
1.668522366209921e-02	2.902047e+00
1.670248103120800e-02	2.889793e+00
1.671882515188550e-02	2.877326e+00
1.673041977424330e-02	2.868028e+00
1.673753427845928e-02	2.862117e+00
1.674195631092477e-02	2.858357e+00
1.674603561070656e-02	2.854833e+00
1.674992054701119e-02	2.851433e+00
1.675373525230363e-02	2.848048e+00
1.675957134553822e-02	2.842791e+00
1.676585309358736e-02	2.837024e+00
1.677619422152788e-02	2.827249e+00
1.679569486217011e-02	2.807938e+00
1.683364552079582e-02	2.767435e+00
1.690954683804725e-02	2.680088e+00
1.695622065876461e-02	2.623065e+00
1.699298535414350e-02	2.576292e+00
1.702656271693600e-02	2.532881e+00
1.706806185498363e-02	2.479067e+00
1.710782363604364e-02	2.428369e+00
1.718680313893832e-02	2.332824e+00
1.728238978095874e-02	2.233351e+00
1.743135333651089e-02	2.112510e+00
1.748955561843228e-02	2.080604e+00
